,StockCode,CustomerID,purchased
247012,3131,3,1
213368,2252,3,1
111655,1414,3,1
174242,1943,3,1
214043,2271,3,1
132148,1558,3,1
218971,2355,3,1
174920,1947,3,1
127512,1520,3,1
18118,344,3,1
196367,2115,3,1
134320,1576,3,1
168141,1863,3,1
65899,973,3,1
215593,2304,3,1
133509,1574,3,1
228916,2630,3,1
217483,2324,3,1
249492,3151,3,1
215780,2307,3,1
111945,1415,3,1
196898,2117,3,1
193169,2089,3,1
224853,2593,3,1
222876,2488,3,1
97553,1292,3,1
237550,2813,3,1
20531,376,3,1
189973,2070,3,1
194397,2099,3,1
146519,1682,3,1
190581,2074,3,1
111026,1412,3,1
38168,629,3,1
73005,1032,3,1
4965,146,3,1
228303,2627,3,1
192574,2085,3,1
38027,628,3,1
249313,3150,3,1
194946,2105,3,1
65174,962,3,1
99386,1299,3,1
130115,1546,3,1
118573,1459,3,1
175054,1948,3,1
197146,2118,3,1
100719,1310,3,1
26667,438,3,1
224047,2531,3,1
65473,967,3,1
114073,1426,3,1
112246,1416,3,1
183462,2032,3,1
39643,645,3,1
50746,823,4,1
232133,2733,4,1
56306,881,4,1
22757,396,4,1
55496,875,4,1
110687,1411,4,1
51399,836,4,1
3719,119,4,1
232394,2750,4,1
3592,113,4,1
96426,1281,4,1
90062,1227,4,1
191217,2077,5,1
31160,533,5,1
142795,1637,5,1
173255,1934,5,1
163401,1823,5,1
142508,1633,5,1
163778,1825,5,1
121810,1481,5,1
123199,1487,5,1
208180,2185,5,1
237086,2810,5,1
42668,706,5,1
126172,1510,5,1
163554,1824,5,1
147968,1693,5,1
56005,880,5,1
197510,2120,5,1
165613,1838,5,1
223605,2507,5,1
144247,1651,5,1
128209,1522,5,1
183463,2032,5,1
172637,1928,5,1
125228,1502,5,1
133510,1574,5,1
73305,1039,5,1
124205,1491,5,1
191576,2079,5,1
134321,1576,5,1
110553,1410,5,1
219793,2369,5,1
142421,1632,5,1
124358,1492,5,1
44011,731,5,1
78262,1073,5,1
132044,1555,5,1
130116,1546,5,1
208364,2186,5,1
164032,1827,5,1
120299,1474,5,1
239871,2880,5,1
122602,1484,5,1
125386,1503,5,1
46814,771,5,1
47172,772,5,1
223975,2530,5,1
169622,1894,7,1
4504,140,7,1
122793,1485,7,1
167422,1852,7,1
124359,1492,7,1
121647,1480,7,1
123484,1488,7,1
50933,828,7,1
53808,859,7,1
185584,2038,7,1
152188,1746,7,1
7270,170,7,1
122878,1486,7,1
126641,1515,7,1
73306,1039,7,1
27332,441,7,1
184318,2035,7,1
82020,1107,7,1
192821,2087,7,1
89976,1224,7,1
128210,1522,7,1
167568,1854,7,1
87998,1198,7,1
164150,1828,7,1
247522,3137,7,1
94041,1259,7,1
27767,444,7,1
57131,885,7,1
169871,1896,7,1
101403,1324,7,1
38169,629,7,1
192617,2086,7,1
107659,1371,7,1
69150,993,7,1
9152,178,7,1
27869,445,7,1
89928,1223,7,1
88350,1207,7,1
185779,2039,7,1
147309,1688,7,1
45506,756,7,1
249068,3147,7,1
53667,858,7,1
78744,1075,7,1
17607,342,7,1
21325,384,7,1
130345,1547,8,1
130920,1551,8,1
131290,1552,8,1
231334,2700,8,1
125603,1505,8,1
151145,1737,8,1
97555,1292,8,1
170767,1915,8,1
251040,3193,8,1
231290,2699,8,1
149453,1705,9,1
18119,344,9,1
238321,2849,9,1
156725,1783,9,1
131597,1553,9,1
239460,2861,9,1
156844,1784,9,1
223606,2507,9,1
238983,2851,9,1
65374,965,9,1
25078,425,9,1
18479,349,9,1
73006,1032,9,1
247321,3136,9,1
80333,1090,9,1
224048,2531,9,1
73118,1033,9,1
224100,2532,9,1
223782,2509,9,1
158374,1797,9,1
257671,3310,9,1
31447,536,9,1
248157,3141,9,1
100045,1304,9,1
65175,962,9,1
240716,2910,9,1
125387,1503,9,1
73307,1039,9,1
19254,361,9,1
159266,1803,9,1
37809,625,9,1
131291,1552,9,1
125604,1505,9,1
240222,2892,9,1
161779,1812,9,1
65259,963,9,1
65687,969,9,1
97556,1292,9,1
20066,368,9,1
20244,369,9,1
247745,3140,9,1
17608,342,9,1
223464,2505,10,1
222063,2425,10,1
65688,969,10,1
249493,3151,10,1
107904,1373,10,1
148451,1696,10,1
200969,2138,10,1
87971,1197,10,1
107938,1374,10,1
241720,2952,10,1
65028,960,10,1
80104,1088,10,1
161391,1811,10,1
183464,2032,10,1
223976,2530,10,1
249314,3150,10,1
36654,616,10,1
133180,1570,10,1
4637,142,10,1
145923,1669,10,1
123651,1489,10,1
87721,1193,10,1
97557,1292,10,1
65288,964,10,1
181503,2014,10,1
236216,2802,10,1
181454,2013,10,1
26362,430,10,1
4321,139,10,1
135371,1580,10,1
162017,1814,10,1
229880,2655,10,1
231693,2710,10,1
132727,1566,10,1
192046,2080,10,1
133346,1571,10,1
181811,2019,10,1
193993,2093,10,1
87881,1196,10,1
152662,1750,10,1
222043,2423,10,1
90063,1227,10,1
222105,2427,10,1
145458,1665,10,1
209607,2200,10,1
223682,2508,10,1
152823,1751,10,1
236642,2804,10,1
20951,382,10,1
65475,967,10,1
65176,962,10,1
207655,2179,10,1
65961,974,10,1
36963,618,10,1
257161,3299,10,1
63240,933,10,1
65786,970,10,1
52171,845,10,1
66024,975,10,1
250899,3189,10,1
207732,2180,10,1
200905,2137,10,1
79651,1085,10,1
145693,1667,10,1
225079,2597,10,1
204413,2163,10,1
231033,2686,10,1
242961,3029,10,1
32596,555,10,1
79689,1086,10,1
107660,1371,10,1
63167,932,10,1
87422,1187,10,1
63006,930,10,1
215594,2304,10,1
164371,1829,10,1
198933,2124,10,1
91056,1236,10,1
50935,828,10,1
151146,1737,10,1
4505,140,10,1
236438,2803,10,1
63612,936,10,1
256839,3282,10,1
89255,1213,10,1
207344,2178,10,1
16313,318,10,1
179579,2003,10,1
133415,1572,10,1
862,18,10,1
238610,2850,10,1
132977,1568,10,1
51189,829,10,1
135050,1579,10,1
135755,1581,10,1
11957,264,10,1
251041,3193,10,1
26669,438,10,1
183178,2030,10,1
206881,2177,10,1
201043,2139,10,1
215314,2303,10,1
183346,2031,10,1
148295,1695,10,1
1167,20,11,1
1344,24,11,1
4638,142,11,1
223683,2508,11,1
994,19,11,1
65177,962,11,1
863,18,11,1
65417,966,11,1
228304,2627,11,1
223554,2506,11,1
155242,1765,12,1
235904,2793,12,1
154983,1763,12,1
155113,1764,12,1
121648,1480,12,1
97558,1292,12,1
126357,1512,12,1
185979,2040,12,1
16701,326,12,1
94482,1260,12,1
165614,1838,12,1
104429,1342,12,1
148452,1696,12,1
133511,1574,12,1
195092,2106,12,1
156077,1773,12,1
148731,1698,12,1
149507,1706,12,1
184710,2036,12,1
104310,1340,12,1
107034,1366,12,1
218819,2352,12,1
146332,1677,12,1
48424,791,12,1
190582,2074,12,1
101281,1321,12,1
135051,1579,12,1
168206,1864,12,1
50936,828,12,1
127513,1520,12,1
207345,2178,12,1
212246,2235,12,1
101073,1315,12,1
37903,626,12,1
81325,1100,12,1
5390,158,12,1
191577,2079,12,1
183721,2033,12,1
173387,1936,12,1
81062,1094,12,1
47696,779,12,1
218579,2346,12,1
218161,2341,12,1
111656,1414,12,1
225261,2599,12,1
80105,1088,12,1
126326,1511,12,1
104490,1343,12,1
181281,2012,12,1
254381,3237,12,1
189000,2064,12,1
143056,1640,12,1
151709,1743,12,1
147412,1689,12,1
208578,2188,12,1
147969,1693,12,1
235942,2794,12,1
131598,1553,12,1
214374,2282,12,1
233408,2778,12,1
160144,1806,12,1
169768,1895,12,1
160847,1808,12,1
165213,1836,12,1
47173,772,12,1
215315,2303,12,1
210133,2204,12,1
124500,1493,12,1
212440,2239,12,1
122603,1484,12,1
180335,2007,12,1
122180,1482,12,1
155818,1771,12,1
184319,2035,12,1
182087,2023,12,1
149007,1700,12,1
106244,1358,12,1
48075,784,12,1
19459,363,12,1
218101,2340,12,1
216323,2313,12,1
111946,1415,12,1
208762,2190,12,1
131292,1552,12,1
218445,2345,12,1
147602,1690,12,1
122469,1483,12,1
153375,1754,12,1
169417,1892,12,1
154855,1762,12,1
149720,1708,12,1
212197,2233,12,1
235975,2795,12,1
46453,766,12,1
211914,2226,12,1
175093,1949,12,1
218075,2339,12,1
186748,2042,12,1
205265,2167,12,1
194947,2105,12,1
143882,1647,12,1
218287,2344,12,1
254089,3236,12,1
46815,771,12,1
216601,2314,12,1
144069,1649,12,1
235675,2790,12,1
217926,2336,12,1
107905,1373,12,1
167641,1855,12,1
154490,1758,12,1
104142,1337,12,1
210016,2203,12,1
218647,2347,12,1
200906,2137,12,1
169317,1891,12,1
167790,1856,12,1
253477,3235,12,1
208664,2189,12,1
214400,2283,12,1
135756,1581,12,1
55734,878,12,1
148142,1694,12,1
198934,2124,12,1
9621,180,12,1
134138,1575,12,1
146350,1679,12,1
197511,2120,12,1
20532,376,12,1
212222,2234,12,1
205364,2168,12,1
142343,1631,12,1
159576,1805,12,1
130921,1551,12,1
107939,1374,12,1
135372,1580,12,1
148296,1695,12,1
190176,2071,12,1
147310,1688,12,1
183038,2029,12,1
37358,623,12,1
96052,1280,12,1
179922,2005,12,1
146302,1676,12,1
206882,2177,12,1
152376,1747,12,1
169529,1893,12,1
58128,892,12,1
169623,1894,12,1
28882,467,12,1
212319,2237,12,1
154642,1760,12,1
198536,2123,12,1
178896,1997,12,1
155939,1772,12,1
221888,2412,12,1
130117,1546,12,1
47507,773,12,1
105060,1352,12,1
211378,2217,12,1
155373,1766,12,1
143571,1645,12,1
121811,1481,12,1
79926,1087,12,1
141988,1629,12,1
106852,1365,12,1
58954,896,12,1
16614,324,12,1
212272,2236,12,1
114074,1426,12,1
184060,2034,12,1
231694,2710,13,1
63312,934,13,1
178268,1990,13,1
114991,1431,13,1
73874,1040,13,1
74356,1041,13,1
110688,1411,13,1
192938,2088,13,1
57606,890,13,1
111947,1415,13,1
241785,2956,13,1
90350,1231,13,1
201099,2140,13,1
114839,1430,13,1
62199,923,13,1
195568,2108,13,1
257785,3311,13,1
176155,1963,13,1
27620,443,13,1
248868,3146,13,1
139665,1605,13,1
178669,1994,13,1
137903,1595,13,1
88351,1207,13,1
84859,1156,13,1
74612,1042,13,1
183722,2033,13,1
193994,2093,13,1
94483,1260,13,1
63613,936,13,1
17609,342,13,1
4322,139,13,1
62093,922,13,1
145268,1663,13,1
27975,446,13,1
43502,712,13,1
120300,1474,13,1
248525,3144,13,1
167423,1852,13,1
151988,1745,13,1
111306,1413,13,1
111657,1414,13,1
167313,1851,13,1
39706,646,13,1
62300,924,13,1
195807,2110,13,1
145385,1664,13,1
201668,2142,13,1
27333,441,13,1
195460,2107,13,1
74870,1043,13,1
100442,1307,13,1
88734,1209,13,1
209608,2200,13,1
105910,1356,13,1
43457,711,13,1
249069,3147,13,1
85066,1157,13,1
208665,2189,13,1
39839,648,13,1
4799,144,13,1
130346,1547,13,1
145924,1669,13,1
99515,1300,13,1
39180,641,13,1
4506,140,13,1
48370,790,13,1
91806,1246,13,1
238322,2849,13,1
9389,179,13,1
116532,1440,13,1
4070,137,13,1
208763,2190,13,1
112248,1416,13,1
39413,642,13,1
118574,1459,13,1
121119,1478,13,1
9153,178,13,1
248667,3145,13,1
21326,384,13,1
145170,1662,13,1
195693,2109,13,1
27175,440,13,1
160672,1807,15,1
9154,178,15,1
141989,1629,15,1
157631,1789,15,1
20385,373,15,1
201669,2142,15,1
56940,884,15,1
39414,642,15,1
209609,2200,15,1
179923,2005,15,1
70565,1013,15,1
39707,646,15,1
135052,1579,15,1
79927,1087,15,1
73875,1040,15,1
210017,2203,15,1
14868,292,15,1
201368,2141,15,1
185084,2037,15,1
126373,1513,15,1
39181,641,15,1
167424,1852,15,1
101282,1321,15,1
207733,2180,15,1
139236,1603,15,1
240834,2914,15,1
42987,708,15,1
45136,746,15,1
209857,2202,15,1
4639,142,15,1
145537,1666,15,1
145171,1662,15,1
152377,1747,15,1
106120,1357,15,1
232694,2771,15,1
93129,1257,15,1
208498,2187,15,1
50579,821,15,1
132728,1566,15,1
226822,2614,15,1
80621,1092,15,1
14233,288,15,1
59506,904,15,1
20396,374,15,1
105911,1356,15,1
48200,788,15,1
122879,1486,15,1
153376,1754,15,1
95850,1274,15,1
92320,1249,15,1
84816,1155,15,1
44876,743,15,1
214573,2291,15,1
192618,2086,15,1
225944,2600,15,1
258805,3344,15,1
180737,2009,15,1
152663,1750,15,1
196150,2113,15,1
113894,1424,15,1
51517,838,15,1
17610,342,15,1
4800,144,15,1
195914,2111,15,1
92240,1248,15,1
61182,916,15,1
76239,1050,15,1
240746,2913,15,1
124641,1494,15,1
112249,1416,15,1
200566,2135,15,1
135757,1581,15,1
9390,179,15,1
156726,1783,15,1
156241,1776,15,1
151238,1738,15,1
191490,2078,15,1
107833,1372,15,1
185980,2040,15,1
157521,1788,15,1
11572,262,15,1
240680,2907,15,1
210134,2204,15,1
58129,892,15,1
117428,1448,15,1
45507,756,15,1
194948,2105,15,1
228306,2627,15,1
191218,2077,15,1
123485,1488,15,1
119832,1470,15,1
249494,3151,15,1
134323,1576,15,1
209289,2196,15,1
99516,1300,15,1
28125,449,15,1
116405,1439,15,1
192823,2087,15,1
2821,69,15,1
93612,1258,15,1
110359,1409,15,1
187050,2043,15,1
4966,146,15,1
135373,1580,15,1
864,18,15,1
191578,2079,15,1
101143,1318,15,1
91807,1246,15,1
78013,1070,15,1
157319,1787,15,1
111658,1414,15,1
223977,2530,15,1
59074,897,15,1
88352,1207,15,1
97559,1292,15,1
117320,1447,15,1
240705,2908,15,1
228755,2629,15,1
253478,3235,15,1
111307,1413,15,1
225262,2599,15,1
220082,2378,15,1
167570,1854,15,1
8615,173,15,1
44992,744,15,1
44240,733,15,1
196254,2114,15,1
46689,768,15,1
107216,1368,15,1
192047,2080,15,1
126811,1516,15,1
157925,1792,15,1
35066,604,15,1
157990,1793,15,1
7797,171,15,1
205365,2168,15,1
134881,1578,15,1
190177,2071,15,1
174243,1943,15,1
144070,1649,15,1
228917,2630,15,1
90351,1231,15,1
14548,290,15,1
50747,823,15,1
196025,2112,15,1
139482,1604,15,1
105754,1355,15,1
73309,1039,15,1
38472,631,15,1
99674,1301,15,1
55933,879,15,1
35269,605,15,1
3868,130,15,1
205266,2167,15,1
63614,936,15,1
190308,2072,15,1
167520,1853,15,1
227469,2622,16,1
189974,2070,16,1
20000,367,16,1
130050,1545,16,1
201100,2140,16,1
189684,2068,16,1
59946,911,16,1
20067,368,16,1
19789,366,16,1
200567,2135,16,1
25022,424,16,1
25079,425,16,1
19550,365,16,1
158217,1796,16,1
4967,146,16,1
158611,1798,16,1
248158,3141,16,1
247746,3140,16,1
200007,2132,17,1
36398,613,17,1
31162,533,17,1
62094,922,17,1
225263,2599,17,1
120862,1477,17,1
60589,914,17,1
153023,1753,17,1
132149,1558,17,1
2122,47,17,1
62301,924,17,1
128211,1522,17,1
60408,913,17,1
132729,1566,17,1
31297,534,17,1
199255,2129,17,1
132401,1561,17,1
132442,1562,17,1
119833,1470,17,1
89256,1213,17,1
50937,828,17,1
24332,413,17,1
158375,1797,17,1
2386,53,17,1
133181,1570,17,1
89162,1212,17,1
153377,1754,17,1
16977,331,17,1
19551,365,17,1
20303,370,17,1
63615,936,17,1
25710,426,17,1
16814,328,17,1
20001,367,17,1
1761,42,17,1
199622,2130,17,1
64549,951,17,1
197512,2120,17,1
226371,2611,17,1
18121,344,17,1
24608,420,17,1
36964,618,17,1
36223,612,17,1
64697,952,17,1
165399,1837,17,1
25080,425,17,1
13820,284,17,1
18481,349,17,1
35990,611,17,1
35713,609,17,1
69152,993,17,1
17031,332,17,1
145925,1669,17,1
20068,368,17,1
247747,3140,17,1
30514,509,18,1
154747,1761,18,1
32545,554,18,1
97560,1292,18,1
18861,355,18,1
131293,1552,18,1
30609,510,18,1
231478,2703,18,1
59947,911,18,1
18832,354,18,1
130922,1551,18,1
12899,280,18,1
247322,3136,18,1
244655,3073,18,1
82580,1116,18,1
131600,1553,18,1
39906,649,19,1
258676,3342,19,1
123203,1487,19,1
64550,951,19,1
2713,68,19,1
47697,779,19,1
39708,646,19,1
123486,1488,19,1
43791,720,20,1
31163,533,20,1
116614,1441,20,1
12083,272,20,1
84600,1153,20,1
160673,1807,20,1
76482,1052,20,1
15583,313,20,1
75473,1047,20,1
226233,2603,20,1
85067,1157,20,1
225264,2599,20,1
49571,801,20,1
82002,1106,20,1
114450,1428,20,1
222667,2482,20,1
30515,509,20,1
102664,1332,20,1
236092,2799,20,1
15564,311,20,1
68080,988,20,1
115357,1434,20,1
65901,973,20,1
26877,439,20,1
11284,238,20,1
243934,3069,20,1
223978,2530,20,1
30647,512,20,1
75952,1049,20,1
142509,1633,20,1
32916,570,20,1
257984,3319,20,1
230748,2684,20,1
82884,1120,20,1
84635,1154,20,1
13396,282,20,1
3805,124,20,1
31796,540,20,1
187514,2044,20,1
12163,273,20,1
108509,1385,20,1
139483,1604,20,1
108762,1388,20,1
138432,1599,20,1
240663,2906,20,1
75620,1048,20,1
108609,1386,20,1
139237,1603,20,1
65962,974,20,1
78648,1074,20,1
226372,2611,20,1
71461,1016,20,1
86652,1179,20,1
114840,1430,20,1
138963,1602,20,1
187812,2047,20,1
102548,1331,20,1
87782,1194,20,1
12489,278,20,1
30610,510,20,1
29696,494,20,1
138732,1601,20,1
31522,537,20,1
16702,326,20,1
171847,1922,20,1
258156,3325,20,1
24096,403,20,1
19061,357,20,1
84817,1155,20,1
149454,1705,20,1
142422,1632,20,1
87722,1193,20,1
108340,1383,20,1
226593,2612,20,1
257508,3307,20,1
232451,2753,20,1
83081,1123,20,1
15533,309,20,1
43753,719,20,1
75187,1046,20,1
19219,360,20,1
89497,1215,20,1
45768,757,20,1
19114,358,20,1
223684,2508,20,1
114640,1429,20,1
141150,1620,20,1
68746,990,20,1
18862,355,20,1
85943,1173,20,1
5455,160,20,1
254885,3249,20,1
26670,438,20,1
258104,3324,20,1
67525,986,20,1
171643,1921,20,1
114207,1427,20,1
12273,276,20,1
108428,1384,20,1
82581,1116,20,1
3526,111,20,1
3744,121,20,1
76543,1053,20,1
18908,356,20,1
82830,1119,20,1
82934,1121,20,1
12246,275,20,1
12335,277,20,1
73876,1040,21,1
238087,2844,21,1
157003,1785,21,1
87723,1193,21,1
8163,172,21,1
178464,1992,21,1
250833,3188,21,1
236439,2803,21,1
154748,1761,21,1
206883,2177,21,1
178574,1993,21,1
164855,1834,21,1
87823,1195,21,1
250566,3183,21,1
207734,2180,21,1
12084,272,21,1
178349,1991,21,1
90352,1231,21,1
39014,640,21,1
250459,3182,21,1
71462,1016,21,1
138219,1598,21,1
250745,3186,21,1
43873,726,21,1
250324,3180,21,1
236643,2804,21,1
207656,2179,21,1
149954,1712,21,1
231816,2712,21,1
150323,1713,21,1
250661,3185,21,1
40814,663,21,1
78832,1076,21,1
146583,1684,21,1
123652,1489,21,1
155691,1769,21,1
87661,1192,21,1
12164,273,21,1
41023,666,21,1
97561,1292,21,1
95322,1269,21,1
250623,3184,21,1
230749,2684,21,1
70678,1014,21,1
258677,3342,21,1
72744,1025,21,1
87783,1194,21,1
34570,602,21,1
207346,2178,21,1
34820,603,21,1
92494,1251,22,1
110554,1410,22,1
9391,179,22,1
132150,1558,22,1
191491,2078,22,1
126374,1513,22,1
110690,1411,22,1
123487,1488,22,1
123204,1487,22,1
189366,2066,22,1
109880,1401,22,1
111948,1415,22,1
33643,580,22,1
2123,47,22,1
111659,1414,22,1
122881,1486,22,1
88353,1207,22,1
132638,1565,22,1
132277,1559,22,1
109981,1404,22,1
39840,648,22,1
92321,1249,22,1
48870,792,22,1
212839,2246,22,1
1779,43,22,1
109807,1400,22,1
6484,167,23,1
6946,169,23,1
7798,171,23,1
90843,1235,23,1
5868,163,23,1
34821,603,23,1
5623,162,23,1
58130,892,23,1
253479,3235,23,1
88737,1209,23,1
220435,2380,24,1
48313,789,24,1
159122,1802,24,1
137540,1592,24,1
201670,2142,24,1
137044,1588,24,1
159033,1801,24,1
224493,2562,24,1
145027,1660,24,1
136549,1585,24,1
206421,2175,24,1
97562,1292,24,1
145773,1668,24,1
215781,2307,24,1
48371,790,24,1
35271,605,24,1
206647,2176,24,1
71463,1016,24,1
125083,1501,24,1
71790,1017,24,1
230750,2684,24,1
18909,356,24,1
136770,1587,24,1
18834,354,24,1
136651,1586,24,1
257162,3299,24,1
6485,167,25,1
9155,178,25,1
57607,890,25,1
248869,3146,25,1
5869,163,25,1
90600,1234,25,1
5624,162,25,1
90844,1235,25,1
254090,3236,25,1
185085,2037,25,1
226373,2611,26,1
86845,1181,26,1
237087,2810,26,1
134882,1578,26,1
86944,1182,26,1
138433,1599,26,1
123488,1488,26,1
101144,1318,26,1
123205,1487,26,1
88355,1207,26,1
11362,243,26,1
109808,1400,26,1
133182,1570,26,1
101114,1317,26,1
110120,1406,26,1
135758,1581,26,1
147091,1686,26,1
132978,1568,26,1
135053,1579,26,1
122882,1486,26,1
132868,1567,26,1
97500,1291,26,1
70450,1011,26,1
136223,1583,26,1
17612,342,26,1
109783,1399,26,1
91808,1246,26,1
136045,1582,26,1
39415,642,26,1
52504,848,26,1
69153,993,26,1
109881,1401,26,1
79652,1085,26,1
36655,616,26,1
63616,936,26,1
1502,28,26,1
158953,1799,26,1
110691,1411,26,1
145269,1663,26,1
248870,3146,26,1
50748,823,26,1
70467,1012,26,1
88738,1209,26,1
87824,1195,26,1
109982,1404,26,1
111949,1415,26,1
71096,1015,26,1
18482,349,26,1
51897,842,26,1
87199,1184,26,1
87066,1183,26,1
110080,1405,26,1
43668,716,26,1
135374,1580,26,1
64164,943,26,1
258421,3331,26,1
182929,2028,27,1
38674,632,27,1
38949,638,27,1
226823,2614,27,1
178465,1992,27,1
120045,1472,27,1
84636,1154,27,1
39416,642,27,1
136046,1582,27,1
4323,139,27,1
100197,1305,27,1
195461,2107,27,1
138220,1598,27,1
61323,917,27,1
119020,1463,27,1
27871,445,27,1
75474,1047,27,1
117321,1447,27,1
181124,2011,27,1
226374,2611,27,1
142423,1632,27,1
226131,2601,27,1
200970,2138,27,1
193995,2093,27,1
89257,1213,27,1
18719,352,27,1
118692,1460,27,1
148297,1695,27,1
138733,1601,27,1
247523,3137,27,1
19255,361,27,1
93613,1258,27,1
42502,705,27,1
29038,476,27,1
141483,1623,27,1
9393,179,27,1
27621,443,27,1
1286,22,27,1
44589,738,27,1
178269,1990,27,1
248668,3145,27,1
27474,442,27,1
18122,344,27,1
128507,1524,27,1
88152,1201,27,1
219297,2360,27,1
189177,2065,27,1
58955,896,27,1
27334,441,27,1
197513,2120,27,1
42988,708,27,1
88356,1207,27,1
258678,3342,27,1
137980,1596,27,1
128367,1523,27,1
122883,1486,27,1
175379,1954,27,1
227198,2619,27,1
174244,1943,27,1
181766,2018,27,1
109179,1393,27,1
79380,1084,27,1
192940,2088,27,1
104553,1344,27,1
192619,2086,27,1
138611,1600,27,1
242588,3001,27,1
17462,341,27,1
252100,3205,27,1
173740,1938,27,1
66151,977,27,1
195808,2110,27,1
62302,924,27,1
147311,1688,27,1
62095,922,27,1
130118,1546,27,1
176265,1964,27,1
100046,1304,27,1
170965,1916,27,1
44464,735,27,1
18483,349,27,1
4507,140,27,1
178671,1994,27,1
109471,1396,27,1
59075,897,27,1
192392,2083,27,1
88033,1199,27,1
88739,1209,27,1
201369,2141,27,1
116757,1443,27,1
62201,923,27,1
129702,1541,27,1
243143,3036,27,1
135054,1579,27,1
181282,2012,27,1
194072,2094,27,1
116883,1444,27,1
164033,1827,27,1
9839,182,27,1
138434,1599,27,1
226594,2612,27,1
157632,1789,27,1
188366,2055,27,1
137541,1592,27,1
99517,1300,27,1
225080,2597,27,1
161392,1811,27,1
16314,318,27,1
205366,2168,27,1
99675,1301,27,1
166800,1845,27,1
205470,2169,27,1
45508,756,27,1
146016,1670,27,1
123489,1488,27,1
39015,640,27,1
192471,2084,27,1
249073,3147,27,1
187051,2043,27,1
149008,1700,27,1
192275,2081,27,1
251162,3198,27,1
238984,2851,27,1
200152,2133,27,1
91623,1244,27,1
24097,403,27,1
110555,1410,27,1
186376,2041,27,1
4071,137,27,1
183039,2029,27,1
4801,144,27,1
194200,2096,27,1
188500,2057,27,1
92322,1249,27,1
137246,1590,27,1
87825,1195,27,1
51190,829,27,1
89420,1214,27,1
116687,1442,27,1
178350,1991,27,1
101283,1321,27,1
173567,1937,27,1
8617,173,27,1
27976,446,27,1
156242,1776,27,1
99951,1303,27,1
188814,2063,27,1
120613,1476,27,1
146108,1672,27,1
24511,418,27,1
147198,1687,27,1
7273,170,27,1
195694,2109,27,1
126376,1513,27,1
174511,1944,27,1
185981,2040,27,1
154643,1760,27,1
135759,1581,27,1
238611,2850,27,1
87784,1194,27,1
17613,342,27,1
43149,709,27,1
192824,2087,27,1
130347,1547,27,1
99387,1299,27,1
61721,920,27,1
27176,440,27,1
92103,1247,27,1
44517,736,27,1
24682,421,27,1
4173,138,27,1
195569,2108,27,1
59759,908,27,1
171419,1919,27,1
4324,139,28,1
153378,1754,28,1
7274,170,28,1
111308,1413,28,1
120614,1476,28,1
126377,1513,28,1
110692,1411,28,1
190309,2072,28,1
93614,1258,28,1
111950,1415,28,1
183724,2033,28,1
90353,1231,28,1
137707,1593,28,1
189975,2070,28,1
185586,2038,28,1
123490,1488,28,1
7799,171,28,1
87200,1184,28,1
32849,566,28,1
186750,2042,28,1
111661,1414,28,1
185982,2040,28,1
94043,1259,28,1
93130,1257,28,1
9394,179,28,1
87067,1183,28,1
17614,342,28,1
248669,3145,28,1
4072,137,28,1
88740,1209,28,1
45509,756,29,1
185587,2038,29,1
25083,425,29,1
248670,3145,29,1
184320,2035,29,1
88358,1207,29,1
94726,1261,29,1
92707,1254,29,1
92889,1255,29,1
190583,2074,29,1
100198,1305,29,1
122795,1485,29,1
